NAME,TYPE,Rah,_m,_s,RA,DEd,_m_,s,Dec,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,A,Vmag,B,Vmag1,u_vm,ag,B-V,u_B-V,C,D,E,U-B,F,G,r_Fx,H,porb,r_Ppu,lse,cat,Name3
1909+048,,19,11,49.6,19:11:49.6,4,58,58,4:58:58,39.7,-2.2,"o,r",,SS433,407,,14.2,,2.1,0.6,,2.6,,"450,507,740",,,2,-,10,63,,13.1,145,,"U,A,H,G                   pec",",V1343 Aql"
1936+541,,19,32,52.3,19:32:52.3,53,52,45,53:52:45,85.9,15.9,o,,DM+53 2262,,,9.8,,,,,,,698,,,0.7,,,781,,,,,H                         Be,
J1946+274,TP,19,45,38,19:45:38,27,21,38,27:21:38,63.2,1.38,x,60,,,,,,,,,,,,,<,1,-,25.   (2-60 keV),"666,743",,80,"15.8       80,644",,"A,X,B",1942+274
1947+300,T,19,49,35.6,19:49:35.6,30,12,31,30:12:31,66.1,2.1,o,,*3,238,,14.2,,0.9,-0.3,,1.1,,"234,238",,<,10,-,84,60,,,,,K,
J1948+32,P,19,48,0,19:48:0,32,0,0,32:0:0,64.9,1.8,x,,,,,,,,,,,,,,,27,-,53.   (20-75 keV),85,,35.      -70.,18.7       85,,C,
1954+319,,19,55,43.3,19:55:43.3,32,6,3,32:6:3,68.4,1.9,x,15,,119,,,,,,,,,,,<,1.5,-,80,"119,743",,,,,"U,A",
1956+350,U,19,58,21.7,19:58:21.7,35,12,6,35:12:6,71.3,3.1,"o,r",,HD226868,568,,8.9,,0.84,-0.2,6,1.06,,"116,158,518",,,235,-,1320,63,,5,227,,"U,M,A,H,X,G,C             O9.7","Iab      Cyg X-1       ,V1357 Cyg"
2030+375,PT,20,32,15.3,20:32:15.3,37,38,15,37:38:15,77.2,-1.3,o,2,*2,"107,496",,19.7,,3.3,,,3.8,,"107,496",,<,0.5,-,1400,541,,46,"41.8       508,541,662",,"Exo,C,B,X,AS              B0",
2030+407,,20,32,25.7,20:32:25.7,40,57,28,40:57:28,79.9,0.7,r,,V1521 Cyg,741,,,,,,,6.3,,"493,719,741",,,90,-,430,63,,0.2,543,,"U,M,A,H,CX                Wolf",#NAME?
J2030.5+4751,,20,30,30.6,20:30:30.6,47,51,46,47:51:46,85.2,5.02,x,18,SAO 49725,500,,9.27,,0.38,-0.6,5,,,500,,,0.04,,,500,,,,,R                         B0.5,V-IIIe
J2058+42,TP,20,59,0,20:59:0,41,43,0,41:43:0,83.5,-2.75,x,240,,83,,,,,,,,,,,,320,,,775,,110,198.        775,,"C, X",
J2103.5+4545,P,21,3,33,21:3:33,45,45,0,45:45:0,87.1,0.71,x,150,,,,,,,,,,,,,,20,,,34,,12.68,"358.61      34,301",,"B,X",
2138+568,PT,21,39,34,21:39:34,57,3,36,57:3:36,99,3.3,x,420,star,,,,,,,,,,53a,,<,6,-,100,391,,,"66.2       391,508",,"M,H,G                     B1",Cep X-4 ?
2202+501,,22,1,38.2,22:1:38.2,50,10,4,50:10:4,97.3,-4,o,,DM+49 3718,646,,8.8,,,,,,,698,,,0.7,,,781,,,,,H                         Be,",SAO51568"
2206+543,,22,7,57,22:7:57,54,31,6,54:31:6,100.6,-1.1,o,2,star,654,,9.9,,0.2,-0.6,,0.5,,654,,,0.6,-,5.5,"743,781",,,392.     ?  611,,"U,M,A,H                   B1e",
2214+589,,22,26,33.1,22:26:33.1,61,14,17,61:14:17,106.4,3.1,o,,GG3 71,233,,11,,,,,,,"264,698",,,0.5,,,781,,,,,H                         B[e,
J2239.3+6116,T,22,39,20.9,22:39:20.9,61,16,26.8,61:16:26.8,107.7,2.3,o,0.3,star,327a,,15.1,,1.4,,,1.4,,327a,,,16,,,327a,,262,327a,,"B,A,U,X                   B0V-",B2IIIe
